transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
56,04/13/2023,07:12:33,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
57,04/13/2023,09:23:24,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
58,04/12/2023,09:34:48,6,2,Utrecht,3.25,Tea,Chai tea
59,04/16/2023,16:47:29,3,1,Amsterdam,3.15,Tea,Green tea
60,04/13/2023,19:08:22,4,3,Eindhoven,3.0,Bakery,Scone
61,04/12/2023,12:44:23,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
62,04/14/2023,12:03:45,1,3,Eindhoven,3.0,Tea,Black tea
63,04/12/2023,19:09:29,4,1,Amsterdam,3.5,Bakery,Pie
64,04/11/2023,14:16:23,2,2,Utrecht,6.3,Coffee,Organic blended coffee
65,04/15/2023,09:12:29,2,2,Utrecht,3.5,Coffee,Milk coffee
66,04/13/2023,10:07:04,3,1,Amsterdam,4.5,Chocolate,Hot chocolate
67,04/14/2023,09:01:00,2,2,Utrecht,4.5,Chocolate,Hot chocolate
68,04/14/2023,17:48:44,4,2,Utrecht,3.5,Bakery,Pie
69,04/11/2023,11:03:23,4,1,Amsterdam,3.15,Tea,Green tea
70,04/11/2023,18:14:47,1,1,Amsterdam,3.25,Tea,Chai tea
71,04/16/2023,17:28:53,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
72,04/12/2023,12:51:59,2,3,Eindhoven,3.15,Tea,Green tea
73,04/13/2023,17:49:22,2,2,Utrecht,3.5,Bakery,Pie
74,04/14/2023,06:19:55,2,1,Amsterdam,6.3,Coffee,Organic blended coffee
75,04/15/2023,14:16:27,2,3,Eindhoven,6.3,Coffee,Organic blended coffee
76,04/16/2023,15:59:30,4,2,Utrecht,4.5,Chocolate,Hot chocolate
77,04/13/2023,09:29:04,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
78,04/11/2023,08:44:04,1,2,Utrecht,3.25,Tea,Chai tea
79,04/16/2023,10:06:27,1,1,Amsterdam,3.0,Bakery,Scone
80,04/12/2023,19:20:00,2,2,Utrecht,3.5,Tea,Herbal tea
81,04/14/2023,11:30:02,2,,Utrecht,4.25,Coffee,Syrup coffee
82,04/14/2023,14:45:36,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
83,04/11/2023,17:51:04,2,2,Utrecht,3.5,Bakery,Pie
84,04/15/2023,11:00:22,2,2,Utrecht,3.5,Tea,Herbal tea
85,04/15/2023,17:51:32,2,2,Utrecht,3.25,Tea,Chai tea
86,04/16/2023,08:17:02,1,,Eindhoven,3.5,Coffee,Milk coffee
87,04/16/2023,18:45:50,2,2,Utrecht,2.0,Coffee,Black coffee
88,04/13/2023,08:26:13,6,3,Eindhoven,4.5,Chocolate,Hot chocolate
89,04/16/2023,08:27:06,3,2,Utrecht,4.5,Chocolate,Hot chocolate
90,04/12/2023,16:35:27,5,1,Amsterdam,2.0,Coffee,Black coffee
91,04/15/2023,15:59:12,1,3,Eindhoven,3.5,Tea,Herbal tea
92,04/16/2023,16:17:59,2,2,Utrecht,4.25,Coffee,Syrup coffee
93,04/16/2023,16:30:55,2,,Utrecht,3.75,Bakery,Sandwich
94,04/10/2023,10:18:47,3,1,Amsterdam,3.5,Bakery,Pie
95,04/15/2023,11:33:42,2,2,Utrecht,4.5,Chocolate,Hot chocolate
96,04/14/2023,12:23:38,2,1,Amsterdam,3.5,Coffee,Milk coffee
97,04/15/2023,09:59:57,1,3,Eindhoven,3.15,Tea,Green tea
98,04/15/2023,16:25:06,2,2,Utrecht,4.5,Chocolate,Hot chocolate
99,04/16/2023,10:25:14,2,3,Eindhoven,3.0,Tea,Black tea
100,04/13/2023,12:10:18,6,,Amsterdam,2.0,Coffee,Black coffee
101,04/15/2023,08:43:29,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
102,04/12/2023,08:24:29,1,3,Eindhoven,3.5,Bakery,Pie
103,04/15/2023,08:32:44,6,2,Utrecht,3.5,Bakery,Pie
104,04/16/2023,08:19:27,1,2,Utrecht,4.25,Coffee,Syrup coffee
105,04/15/2023,18:42:58,4,2,Utrecht,3.5,Coffee,Milk coffee
106,04/15/2023,10:47:21,3,3,Eindhoven,3.15,Tea,Green tea
107,04/15/2023,13:45:28,4,1,Amsterdam,4.5,Chocolate,Hot chocolate
108,04/15/2023,08:34:02,1,2,Utrecht,3.5,Tea,Herbal tea
109,04/14/2023,12:55:33,1,1,Amsterdam,3.75,Bakery,Sandwich
110,04/15/2023,08:27:51,2,1,Amsterdam,3.5,Bakery,Pie
111,04/12/2023,16:54:14,1,2,Utrecht,6.3,Coffee,Organic blended coffee
112,04/14/2023,13:33:04,1,3,Eindhoven,3.5,Tea,Herbal tea
113,04/13/2023,08:14:42,6,1,Amsterdam,3.5,Bakery,Pie
114,04/15/2023,06:23:15,1,3,Eindhoven,3.5,Bakery,Pie
115,04/14/2023,18:21:12,3,2,Utrecht,3.75,Bakery,Sandwich
116,04/16/2023,17:19:00,2,2,Utrecht,4.5,Chocolate,Hot chocolate
117,04/11/2023,19:04:06,2,1,Amsterdam,3.25,Tea,Chai tea
118,04/15/2023,12:16:52,2,2,Utrecht,4.5,Chocolate,Hot chocolate
119,04/14/2023,08:11:20,1,2,Utrecht,3.5,Tea,Herbal tea
120,04/12/2023,16:31:05,3,3,Eindhoven,3.5,Tea,Herbal tea
121,04/16/2023,09:51:38,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
122,04/14/2023,10:47:46,2,2,Utrecht,3.5,Bakery,Pie
123,04/12/2023,16:20:30,3,1,Amsterdam,3.0,Tea,Black tea
124,04/16/2023,08:02:52,4,3,Eindhoven,3.5,Tea,Herbal tea
125,04/11/2023,08:02:51,1,2,Utrecht,3.75,Bakery,Sandwich
126,04/10/2023,13:10:16,2,1,Amsterdam,3.15,Tea,Green tea
127,04/10/2023,17:31:37,4,2,Utrecht,3.5,Bakery,Pie
128,04/12/2023,10:28:34,1,2,Utrecht,3.0,Bakery,Scone
129,04/16/2023,17:30:23,1,2,Utrecht,3.0,Bakery,Scone
130,04/15/2023,17:29:23,2,2,Utrecht,4.5,Chocolate,Hot chocolate
131,04/14/2023,07:01:07,2,1,Amsterdam,3.25,Tea,Chai tea
132,04/10/2023,11:16:50,2,1,Amsterdam,3.5,Bakery,Pie
133,04/11/2023,18:05:59,2,2,Utrecht,3.5,Coffee,Milk coffee
134,04/12/2023,14:23:57,2,3,Eindhoven,3.0,Bakery,Scone
135,04/13/2023,10:34:45,1,2,Utrecht,3.5,Coffee,Milk coffee
136,04/14/2023,15:14:40,2,2,Utrecht,4.5,Chocolate,Hot chocolate
137,04/14/2023,09:18:18,2,2,Utrecht,3.5,Coffee,Milk coffee
138,04/15/2023,08:00:43,2,2,Utrecht,3.5,Bakery,Pie
139,04/12/2023,16:20:28,2,,Eindhoven,3.5,Coffee,Milk coffee
140,04/13/2023,18:54:57,2,3,Eindhoven,3.5,Bakery,Pie
141,04/15/2023,11:08:08,1,2,Utrecht,3.5,Coffee,Milk coffee
142,04/13/2023,14:04:00,2,1,Amsterdam,6.3,Coffee,Organic blended coffee
143,04/16/2023,13:48:09,1,2,Utrecht,3.15,Tea,Green tea
144,04/15/2023,08:25:08,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
145,04/10/2023,13:34:36,2,2,Utrecht,3.25,Tea,Chai tea
146,04/12/2023,08:35:27,3,1,Amsterdam,2.0,Coffee,Black coffee
147,04/10/2023,17:45:01,1,2,Utrecht,3.5,Bakery,Pie
148,04/12/2023,10:09:44,2,3,Eindhoven,3.5,Tea,Herbal tea
149,04/15/2023,11:03:03,2,2,Utrecht,3.75,Bakery,Sandwich
150,04/13/2023,10:53:27,4,3,Eindhoven,4.5,Chocolate,Hot chocolate
151,04/16/2023,09:14:49,4,1,Amsterdam,3.5,Tea,Herbal tea
152,04/14/2023,19:41:44,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
153,04/12/2023,09:36:48,2,3,Eindhoven,3.5,Coffee,Milk coffee
154,04/16/2023,08:48:24,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
155,04/15/2023,10:04:29,2,,Eindhoven,3.5,Bakery,Pie
156,04/11/2023,10:56:57,1,3,Eindhoven,4.25,Coffee,Syrup coffee
157,04/13/2023,19:16:30,1,2,Utrecht,3.25,Tea,Chai tea
158,04/15/2023,08:47:08,4,3,Eindhoven,3.5,Tea,Herbal tea
159,04/15/2023,08:25:15,2,2,Utrecht,3.75,Bakery,Sandwich
160,04/11/2023,15:41:30,5,1,Amsterdam,4.25,Coffee,Syrup coffee
161,04/16/2023,17:04:15,4,3,Eindhoven,4.5,Chocolate,Hot chocolate
162,04/14/2023,10:41:55,3,3,Eindhoven,3.15,Tea,Green tea
163,04/12/2023,08:14:32,1,3,Eindhoven,4.25,Coffee,Syrup coffee
164,04/15/2023,09:35:30,1,2,Utrecht,3.15,Tea,Green tea
165,04/11/2023,13:18:06,2,3,Eindhoven,3.5,Coffee,Milk coffee
166,04/15/2023,12:48:57,1,1,Amsterdam,3.25,Tea,Chai tea
167,04/16/2023,09:21:06,2,3,Eindhoven,4.25,Coffee,Syrup coffee
168,04/14/2023,18:04:05,6,1,Amsterdam,3.75,Bakery,Sandwich
169,,06:08:20,1,2,Utrecht,4.5,Chocolate,Hot chocolate
170,04/14/2023,11:04:06,1,1,Amsterdam,3.0,Bakery,Scone
171,04/11/2023,08:36:51,1,2,Utrecht,4.25,Coffee,Syrup coffee
172,04/15/2023,08:15:53,1,1,Amsterdam,3.5,Bakery,Pie
173,04/13/2023,19:02:01,1,1,Amsterdam,3.15,Tea,Green tea
174,04/11/2023,11:03:20,1,2,Utrecht,6.3,Coffee,Organic blended coffee
175,04/11/2023,10:46:25,4,2,Utrecht,3.5,Coffee,Milk coffee
176,04/13/2023,11:38:32,3,1,Amsterdam,4.5,Chocolate,Hot chocolate
177,04/14/2023,11:55:08,3,2,Utrecht,3.15,Tea,Green tea
178,04/16/2023,08:04:52,2,2,Utrecht,3.25,Tea,Chai tea
179,04/12/2023,16:04:17,4,2,Utrecht,3.0,Tea,Black tea
180,04/13/2023,06:03:43,2,2,Utrecht,3.5,Bakery,Pie
181,04/11/2023,16:50:42,1,2,Utrecht,3.5,Bakery,Pie
182,04/13/2023,09:42:56,2,3,Eindhoven,3.5,Bakery,Pie
183,04/13/2023,17:27:02,2,2,Utrecht,3.75,Bakery,Sandwich
184,04/16/2023,06:12:23,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
185,04/15/2023,10:00:37,2,3,Eindhoven,3.75,Bakery,Sandwich
186,04/16/2023,17:41:07,2,2,Utrecht,3.75,Bakery,Sandwich
187,04/15/2023,10:14:58,2,3,Eindhoven,3.75,Bakery,Sandwich
188,04/14/2023,08:55:39,1,2,Utrecht,3.0,Bakery,Scone
189,04/15/2023,08:09:43,2,1,Amsterdam,3.25,Tea,Chai tea
190,04/16/2023,08:03:50,1,1,Amsterdam,6.3,Coffee,Organic blended coffee
191,04/11/2023,09:17:08,1,3,Eindhoven,2.0,Coffee,Black coffee
192,04/15/2023,12:32:34,2,2,Utrecht,3.25,Tea,Chai tea
193,04/13/2023,13:03:57,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
194,04/11/2023,08:01:13,3,2,Utrecht,3.75,Bakery,Sandwich
195,04/12/2023,18:38:27,1,2,Utrecht,3.5,Tea,Herbal tea
196,04/16/2023,09:44:06,5,3,Eindhoven,3.75,Bakery,Sandwich
197,04/15/2023,07:55:37,2,2,Utrecht,3.5,Coffee,Milk coffee
198,04/15/2023,16:42:11,1,1,Amsterdam,3.5,Coffee,Milk coffee
199,04/16/2023,08:39:17,2,1,Amsterdam,3.0,Bakery,Scone
200,04/12/2023,09:17:16,2,2,Utrecht,3.15,Tea,Green tea
201,,08:08:26,2,2,Utrecht,4.5,Chocolate,Hot chocolate
202,04/14/2023,15:26:29,1,3,Eindhoven,4.25,Coffee,Syrup coffee
203,04/14/2023,08:47:31,2,2,Utrecht,3.0,Bakery,Scone
204,04/12/2023,17:05:36,3,2,Utrecht,3.5,Coffee,Milk coffee
205,04/16/2023,09:40:17,3,2,Utrecht,6.3,Coffee,Organic blended coffee
206,04/14/2023,17:31:12,2,,Utrecht,4.25,Coffee,Syrup coffee
207,04/12/2023,16:17:36,1,2,Utrecht,3.75,Bakery,Sandwich
208,04/16/2023,10:26:27,1,,Utrecht,3.15,Tea,Green tea
209,04/15/2023,19:06:15,3,1,Amsterdam,4.5,Chocolate,Hot chocolate
210,04/12/2023,17:01:58,2,1,Amsterdam,6.3,Coffee,Organic blended coffee
211,04/13/2023,15:12:28,2,2,Utrecht,4.5,Chocolate,Hot chocolate
212,04/14/2023,11:16:12,1,1,Amsterdam,2.0,Coffee,Black coffee
213,04/16/2023,17:10:55,4,2,Utrecht,4.5,Chocolate,Hot chocolate
214,04/15/2023,11:43:17,2,1,Amsterdam,2.0,Coffee,Black coffee
215,04/15/2023,09:34:07,4,3,Eindhoven,3.0,Bakery,Scone
216,04/13/2023,06:01:35,1,1,Amsterdam,3.75,Bakery,Sandwich
217,04/13/2023,13:04:38,2,2,Utrecht,6.3,Coffee,Organic blended coffee
218,04/14/2023,11:31:23,2,2,Utrecht,4.25,Coffee,Syrup coffee
219,04/14/2023,11:55:23,2,2,Utrecht,4.5,Chocolate,Hot chocolate
220,04/10/2023,11:02:45,5,3,Eindhoven,4.5,Chocolate,Hot chocolate
221,04/12/2023,12:44:11,1,2,Utrecht,2.0,Coffee,Black coffee
222,04/14/2023,11:46:35,1,3,Eindhoven,3.0,Bakery,Scone
223,04/15/2023,08:12:31,2,2,Utrecht,4.25,Coffee,Syrup coffee
224,04/15/2023,17:45:57,2,2,Utrecht,3.75,Bakery,Sandwich
225,04/16/2023,16:58:23,2,2,Utrecht,3.5,Coffee,Milk coffee
226,04/14/2023,19:14:17,1,2,Utrecht,3.25,Tea,Chai tea
227,04/13/2023,16:14:04,4,2,Utrecht,3.5,Coffee,Milk coffee
228,04/15/2023,13:36:08,1,1,Amsterdam,6.3,Coffee,Organic blended coffee
229,04/13/2023,11:15:40,2,1,Amsterdam,4.25,Coffee,Syrup coffee
230,04/15/2023,11:57:55,1,2,Utrecht,4.25,Coffee,Syrup coffee
231,04/15/2023,15:31:01,1,2,Utrecht,6.3,Coffee,Organic blended coffee
232,04/11/2023,18:53:59,1,1,Amsterdam,3.75,Bakery,Sandwich
233,04/14/2023,11:27:21,2,1,Amsterdam,3.5,Tea,Herbal tea
234,04/12/2023,15:52:52,2,1,Amsterdam,3.0,Tea,Black tea
235,04/15/2023,11:28:55,4,2,Utrecht,3.5,Coffee,Milk coffee
236,04/13/2023,10:16:04,3,2,Utrecht,2.0,Coffee,Black coffee
237,04/13/2023,11:41:13,4,2,Utrecht,4.25,Coffee,Syrup coffee
238,04/14/2023,10:35:48,2,2,Utrecht,4.5,Chocolate,Hot chocolate
239,04/10/2023,15:16:15,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
240,04/11/2023,11:49:46,3,2,Utrecht,3.15,Tea,Green tea
241,04/14/2023,09:17:28,2,3,Eindhoven,3.5,Bakery,Pie
242,04/15/2023,18:53:40,2,3,Eindhoven,4.25,Coffee,Syrup coffee
243,04/15/2023,12:03:02,2,2,Utrecht,3.5,Bakery,Pie
244,04/11/2023,13:39:21,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
245,04/14/2023,12:45:36,1,1,Amsterdam,3.5,Bakery,Pie
246,04/16/2023,16:31:25,2,2,Utrecht,4.5,Chocolate,Hot chocolate
247,04/16/2023,14:47:49,2,1,Amsterdam,3.25,Tea,Chai tea
248,04/15/2023,16:12:40,1,1,Amsterdam,3.5,Coffee,Milk coffee
249,04/16/2023,19:55:31,1,3,Eindhoven,3.25,Tea,Chai tea
250,04/16/2023,09:39:19,1,2,Utrecht,3.75,Bakery,Sandwich
251,04/11/2023,19:51:17,1,1,Amsterdam,3.25,Tea,Chai tea
252,04/14/2023,07:29:52,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
253,,09:20:18,2,1,Amsterdam,3.75,Bakery,Sandwich
254,04/15/2023,08:07:42,3,2,Utrecht,3.15,Tea,Green tea
255,04/15/2023,16:27:48,4,2,Utrecht,3.5,Coffee,Milk coffee
256,04/15/2023,16:46:32,4,2,Utrecht,3.0,Tea,Black tea
257,04/15/2023,07:40:32,4,1,Amsterdam,4.25,Coffee,Syrup coffee
258,04/14/2023,17:31:21,2,1,Amsterdam,3.5,Bakery,Pie
259,04/15/2023,10:43:30,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
260,04/10/2023,10:51:40,1,,Utrecht,3.5,Coffee,Milk coffee
261,04/16/2023,08:11:32,2,2,Utrecht,3.25,Tea,Chai tea
262,04/14/2023,19:06:11,1,2,Utrecht,4.25,Coffee,Syrup coffee
263,04/13/2023,13:29:12,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
264,04/16/2023,17:28:16,1,3,Eindhoven,2.0,Coffee,Black coffee
265,04/14/2023,16:58:29,1,2,Utrecht,3.5,Tea,Herbal tea
266,04/14/2023,19:16:41,1,3,Eindhoven,6.3,Coffee,Organic blended coffee
267,04/12/2023,08:17:04,1,3,Eindhoven,3.0,Tea,Black tea
268,04/15/2023,17:43:11,1,3,Eindhoven,3.5,Bakery,Pie
269,04/15/2023,08:58:48,1,2,Utrecht,6.3,Coffee,Organic blended coffee
270,04/14/2023,07:42:42,1,1,Amsterdam,6.3,Coffee,Organic blended coffee
271,04/15/2023,08:49:53,1,2,Utrecht,4.25,Coffee,Syrup coffee
272,04/16/2023,13:59:55,2,2,Utrecht,6.3,Coffee,Organic blended coffee
273,04/12/2023,11:24:44,1,2,Utrecht,3.5,Tea,Herbal tea
274,04/15/2023,17:06:04,5,2,Utrecht,4.5,Chocolate,Hot chocolate
275,04/10/2023,17:31:41,2,2,Utrecht,3.15,Tea,Green tea
276,04/12/2023,10:09:15,1,3,Eindhoven,3.75,Bakery,Sandwich
277,04/13/2023,11:44:17,1,2,Utrecht,4.25,Coffee,Syrup coffee
278,04/13/2023,09:51:38,2,1,Amsterdam,3.25,Tea,Chai tea
279,04/12/2023,09:53:09,1,2,Utrecht,3.75,Bakery,Sandwich
280,04/14/2023,06:48:46,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
281,04/14/2023,17:31:45,2,2,Utrecht,2.0,Coffee,Black coffee
282,04/11/2023,08:12:21,2,3,Eindhoven,4.25,Coffee,Syrup coffee
283,04/14/2023,17:21:05,2,2,Utrecht,4.25,Coffee,Syrup coffee
284,04/14/2023,12:48:24,2,1,Amsterdam,3.0,Tea,Black tea
285,04/13/2023,11:35:20,1,2,Utrecht,4.25,Coffee,Syrup coffee
286,04/14/2023,13:04:18,1,2,Utrecht,3.5,Tea,Herbal tea
287,04/14/2023,08:51:31,2,1,Amsterdam,6.3,Coffee,Organic blended coffee
288,04/10/2023,09:01:57,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
289,04/14/2023,10:09:16,2,2,Utrecht,4.5,Chocolate,Hot chocolate
290,04/14/2023,17:35:14,2,2,Utrecht,3.5,Coffee,Milk coffee
291,04/13/2023,14:38:06,3,1,Amsterdam,2.0,Coffee,Black coffee
292,04/13/2023,14:55:31,1,1,Amsterdam,3.75,Bakery,Sandwich
293,04/16/2023,16:57:34,1,3,Eindhoven,3.0,Bakery,Scone
294,04/11/2023,09:07:56,1,3,Eindhoven,3.0,Bakery,Scone
295,04/10/2023,11:46:11,6,1,Amsterdam,3.75,Bakery,Sandwich
296,04/15/2023,12:54:11,2,1,Amsterdam,3.25,Tea,Chai tea
297,04/16/2023,13:43:56,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
298,04/16/2023,08:59:26,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
299,04/13/2023,10:43:28,1,2,Utrecht,3.75,Bakery,Sandwich
300,04/16/2023,07:22:45,2,1,Amsterdam,4.25,Coffee,Syrup coffee
301,04/14/2023,12:23:06,2,1,Amsterdam,3.0,Tea,Black tea
302,04/11/2023,08:54:36,1,1,Amsterdam,3.5,Bakery,Pie
303,04/14/2023,17:24:47,2,3,Eindhoven,3.0,Bakery,Scone
304,04/12/2023,13:03:38,1,2,Utrecht,2.0,Coffee,Black coffee
305,04/13/2023,08:20:49,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
306,04/16/2023,18:47:29,2,,Utrecht,3.75,Bakery,Sandwich
307,04/13/2023,19:42:39,2,3,Eindhoven,3.15,Tea,Green tea
308,04/13/2023,10:59:28,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
309,04/12/2023,16:52:51,2,2,Utrecht,3.5,Coffee,Milk coffee
310,04/15/2023,19:18:53,1,2,Utrecht,4.5,Chocolate,Hot chocolate
311,04/14/2023,13:17:36,3,1,Amsterdam,4.5,Chocolate,Hot chocolate
312,04/14/2023,16:27:05,1,2,Utrecht,3.5,Coffee,Milk coffee
313,04/16/2023,13:01:03,1,2,Utrecht,3.75,Bakery,Sandwich
314,04/16/2023,08:18:58,1,2,Utrecht,3.5,Tea,Herbal tea
315,04/11/2023,10:47:58,5,2,Utrecht,6.3,Coffee,Organic blended coffee
316,04/15/2023,15:00:34,3,1,Amsterdam,3.25,Tea,Chai tea
317,04/13/2023,17:34:36,4,2,Utrecht,3.5,Bakery,Pie
318,04/13/2023,12:50:00,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
319,04/11/2023,16:37:25,2,3,Eindhoven,3.0,Bakery,Scone
320,04/11/2023,08:09:37,2,1,Amsterdam,3.25,Tea,Chai tea
321,04/15/2023,14:57:10,3,2,Utrecht,3.5,Coffee,Milk coffee
322,04/15/2023,11:21:19,2,1,Amsterdam,4.25,Coffee,Syrup coffee
323,04/14/2023,09:50:20,2,1,Amsterdam,6.3,Coffee,Organic blended coffee
324,04/13/2023,10:30:04,2,2,Utrecht,4.5,Chocolate,Hot chocolate
325,04/12/2023,14:32:46,1,1,Amsterdam,3.5,Tea,Herbal tea
326,04/13/2023,19:53:00,1,2,Utrecht,3.15,Tea,Green tea
327,04/12/2023,13:10:50,2,3,Eindhoven,3.5,Bakery,Pie
328,04/14/2023,14:36:14,2,1,Amsterdam,3.0,Tea,Black tea
329,04/12/2023,16:53:34,1,2,Utrecht,4.5,Chocolate,Hot chocolate
330,04/14/2023,12:29:50,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
331,04/10/2023,09:10:22,2,2,Utrecht,3.25,Tea,Chai tea
332,04/15/2023,11:28:29,2,,Amsterdam,3.0,Bakery,Scone
333,04/12/2023,12:07:31,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
334,04/11/2023,09:44:17,3,3,Eindhoven,6.3,Coffee,Organic blended coffee
335,04/15/2023,17:09:57,1,2,Utrecht,3.0,Bakery,Scone
336,04/16/2023,06:23:24,1,2,Utrecht,3.5,Tea,Herbal tea
337,04/15/2023,09:29:46,2,2,Utrecht,3.15,Tea,Green tea
338,04/15/2023,16:56:49,2,3,Eindhoven,3.5,Coffee,Milk coffee
339,04/14/2023,07:40:11,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
